snapshot_date,system,category,rank,player,country,points
2026-08-13,Global Pickleball Alliance,Men's singles,1,Dusty Boyer,USA,3000
2026-08-13,Global Pickleball Alliance,Men's singles,1,Ronan Camron,USA,3000
2026-08-13,Global Pickleball Alliance,Men's singles,2,Ammar Wazir,USA,2150
2026-08-13,Global Pickleball Alliance,Women's singles,1,Sofia Sewing,USA,4600
2026-08-13,Global Pickleball Alliance,Women's singles,2,Domenika Turkovic,Croatia,4350
2026-08-13,Global Pickleball Alliance,Women's singles,3,Katerina Stewart,USA,4300
2026-08-13,Global Pickleball Alliance,Men's doubles,1,Richard Livornese Jr,USA,5950
2026-08-13,Global Pickleball Alliance,Men's doubles,2,Jack Munro,USA,5750
2026-08-13,Global Pickleball Alliance,Men's doubles,3,Casey Diamond,USA,2700
2026-08-13,Global Pickleball Alliance,Women's doubles,1,Megan Fudge,UK,6700
2026-08-13,Global Pickleball Alliance,Women's doubles,2,Sofia Sewing,USA,6300
2026-08-13,Global Pickleball Alliance,Women's doubles,3,Katerina Stewart,USA,4050
2026-08-13,Global Pickleball Alliance,Men's mixed,1,Casey Diamond,USA,4925
2026-08-13,Global Pickleball Alliance,Men's mixed,2,Jack Munro,USA,4300
2026-08-13,Global Pickleball Alliance,Men's mixed,3,Richard Livornese Jr,USA,4250
2026-08-13,Global Pickleball Alliance,Women's mixed,1,Sofia Sewing,USA,5700
2026-08-13,Global Pickleball Alliance,Women's mixed,2,Megan Fudge,UK,4250
2026-08-13,Global Pickleball Alliance,Women's mixed,3,Vivian Glozman,USA,2400
