snapshot_date,system,gender,rank,player,points
2026-08-13,PPA World Pickleball Rankings,men,1,Ben Johns,19287.5
2026-08-13,PPA World Pickleball Rankings,men,2,Gabriel Tardio,13476.3
2026-08-13,PPA World Pickleball Rankings,men,3,Christian Alshon,12052.5
2026-08-13,PPA World Pickleball Rankings,men,4,Hayden Patriquin,11437.5
2026-08-13,PPA World Pickleball Rankings,men,5,Federico Staksrud,10877.5
2026-08-13,PPA World Pickleball Rankings,men,6,Andrei Daescu,10430
2026-08-13,PPA World Pickleball Rankings,men,7,JW Johnson,10380.6
2026-08-13,PPA World Pickleball Rankings,men,8,CJ Klinger,6415
2026-08-13,PPA World Pickleball Rankings,men,9,Eric Oncins,5861.3
2026-08-13,PPA World Pickleball Rankings,men,10,Connor Garnett,4487.5
2026-08-13,PPA World Pickleball Rankings,men,11,Noe Khlif,4303.8
2026-08-13,PPA World Pickleball Rankings,men,12,Dylan Frazier,4028.8
2026-08-13,PPA World Pickleball Rankings,men,13,Tyson McGuffin,3648.8
2026-08-13,PPA World Pickleball Rankings,men,14,Tama Shimabukuro,3513.1
2026-08-13,PPA World Pickleball Rankings,men,15,Hunter Johnson,3475
2026-08-13,PPA World Pickleball Rankings,men,16,Christopher Haworth,3180.6
2026-08-13,PPA World Pickleball Rankings,men,17,Hong Kit Wong,3135
2026-08-13,PPA World Pickleball Rankings,men,18,Armaan Bhatia,2924.4
2026-08-13,PPA World Pickleball Rankings,men,19,Riley Newman,2847.5
2026-08-13,PPA World Pickleball Rankings,men,20,Jaume Martinez Vich,2765
2026-08-13,PPA World Pickleball Rankings,men,21,Jonathan Truong,2754.4
2026-08-13,PPA World Pickleball Rankings,men,22,Eunggwon Kim,2730
2026-08-13,PPA World Pickleball Rankings,men,23,Roscoe Bellamy,2700.6
2026-08-13,PPA World Pickleball Rankings,men,24,Augustus Ge,2520.6
2026-08-13,PPA World Pickleball Rankings,men,25,Len Yang,2515.6
2026-08-13,PPA World Pickleball Rankings,women,1,Anna Leigh Waters,21905
2026-08-13,PPA World Pickleball Rankings,women,2,Anna Bright,16730
2026-08-13,PPA World Pickleball Rankings,women,3,Jorja Johnson,11796.3
2026-08-13,PPA World Pickleball Rankings,women,4,Tyra Hurricane Black,10587.5
2026-08-13,PPA World Pickleball Rankings,women,5,Catherine Parenteau,8930
2026-08-13,PPA World Pickleball Rankings,women,6,Parris Todd,8570
2026-08-13,PPA World Pickleball Rankings,women,7,Rachel Rohrabacher,7630
2026-08-13,PPA World Pickleball Rankings,women,8,Kate Fahey,6607.5
2026-08-13,PPA World Pickleball Rankings,women,9,Tina Pisnik,5596.3
2026-08-13,PPA World Pickleball Rankings,women,10,Kaitlyn Christian,5563.8
2026-08-13,PPA World Pickleball Rankings,women,11,Chao Yi Wang,5115
2026-08-13,PPA World Pickleball Rankings,women,12,Jade Kawamoto,5002.5
2026-08-13,PPA World Pickleball Rankings,women,13,Lacy Schneemann,4223.1
2026-08-13,PPA World Pickleball Rankings,women,14,Alix Truong,4107.5
2026-08-13,PPA World Pickleball Rankings,women,15,Jessie Irvine,3916.3
2026-08-13,PPA World Pickleball Rankings,women,16,Lea Jansen,3679.4
2026-08-13,PPA World Pickleball Rankings,women,17,Meghan Dizon,3535
2026-08-13,PPA World Pickleball Rankings,women,18,Jackie Kawamoto,3450
2026-08-13,PPA World Pickleball Rankings,women,19,Brooke Buckner,3291.3
2026-08-13,PPA World Pickleball Rankings,women,20,Ting Chieh Wei,3171.3
2026-08-13,PPA World Pickleball Rankings,women,21,Sahra Dennehy,2947.5
2026-08-13,PPA World Pickleball Rankings,women,22,Yufei Long,2852.5
2026-08-13,PPA World Pickleball Rankings,women,23,Danni-Elle Townsend,2837.5
2026-08-13,PPA World Pickleball Rankings,women,24,Mari Humberg,2805.1
2026-08-13,PPA World Pickleball Rankings,women,25,Callie Smith,2593.8
