state,population,locations,courts,courts_per_100k,locations_per_100k,courts_per_location,rank_courts,rank_courts_per_100k,rank_locations_per_100k,vs_us_avg_pct
Alabama,5193088,279,1381,26.59,5.37,4.95,25,34,36,4.12
Alaska,737270,53,205,27.81,7.19,3.87,50,27,14,8.86
Arizona,7623818,441,2727,35.77,5.78,6.18,10,8,35,40.04
Arkansas,3114791,139,630,20.23,4.46,4.53,35,43,45,-20.81
California,39355309,1458,7355,18.69,3.7,5.04,2,45,50,-26.83
Colorado,6012561,414,1968,32.73,6.89,4.75,18,13,21,28.15
Connecticut,3688496,231,989,26.81,6.26,4.28,29,32,25,4.98
Delaware,1059952,78,355,33.49,7.36,4.55,44,11,12,31.13
Florida,23462518,1485,7674,32.71,6.33,5.17,1,14,23,28.05
Georgia,11302748,586,3075,27.21,5.18,5.25,7,30,38,6.51
Hawaii,1432820,161,522,36.43,11.24,3.24,40,7,3,42.64
Idaho,2029733,182,793,39.07,8.97,4.36,33,5,6,52.96
Illinois,12719141,754,3294,25.9,5.93,4.37,6,36,32,1.39
Indiana,6973333,425,1944,27.88,6.09,4.57,19,26,30,9.14
Iowa,3238387,292,1148,35.45,9.02,3.93,27,9,5,38.79
Kansas,2977220,206,838,28.15,6.92,4.07,30,24,20,10.2
Kentucky,4606864,227,1001,21.73,4.93,4.41,28,41,39,-14.93
Louisiana,4618189,174,816,17.67,3.77,4.69,31,48,48,-30.82
Maine,1414874,172,626,44.24,12.16,3.64,36,3,2,73.22
Maryland,6265347,420,1828,29.18,6.7,4.35,21,17,22,14.23
Massachusetts,7154084,447,1983,27.72,6.25,4.44,17,28,27,8.52
Michigan,10127884,607,2835,27.99,5.99,4.67,9,25,31,9.59
Minnesota,5830405,456,2057,35.28,7.82,4.51,16,10,10,38.13
Mississippi,2954160,123,543,18.38,4.16,4.41,39,47,46,-28.04
Missouri,6270541,435,1912,30.49,6.94,4.4,20,16,19,19.38
Montana,1144694,82,306,26.73,7.16,3.73,45,33,15,4.66
Nebraska,2018006,148,558,27.65,7.33,3.77,38,29,13,8.26
Nevada,3282188,147,797,24.28,4.48,5.42,32,39,44,-4.93
New Hampshire,1415342,118,466,32.92,8.34,3.95,41,12,9,28.91
New Jersey,9548215,441,2453,25.69,4.62,5.56,12,37,43,0.58
New Mexico,2125498,133,617,29.03,6.26,4.64,37,18,26,13.65
New York,20002427,830,3332,16.66,4.15,4.01,5,50,47,-34.78
North Carolina,11197968,698,3042,27.17,6.23,4.36,8,31,28,6.36
North Dakota,799358,59,229,28.65,7.38,3.88,49,21,11,12.16
Ohio,11900510,734,3434,28.86,6.17,4.68,4,19,29,12.98
Oklahoma,4123288,192,766,18.58,4.66,3.99,34,46,42,-27.27
Oregon,4273586,306,1363,31.89,7.16,4.45,26,15,16,24.87
Pennsylvania,13059432,628,2586,19.8,4.81,4.12,11,44,40,-22.47
Rhode Island,1114521,65,274,24.58,5.83,4.22,46,38,33,-3.75
South Carolina,5570274,324,1576,28.29,5.82,4.86,23,23,34,10.77
South Dakota,935094,66,267,28.55,7.06,4.05,47,22,17,11.79
Tennessee,7315076,351,1549,21.18,4.8,4.41,24,42,41,-17.1
Texas,31709821,1188,5441,17.16,3.75,4.58,3,49,49,-32.82
Utah,3538904,313,1694,47.87,8.84,5.41,22,2,7,87.41
Vermont,644663,102,368,57.08,15.82,3.61,43,1,1,123.49
Virginia,8880107,562,2304,25.95,6.33,4.1,13,35,24,1.58
Washington,8001020,561,2303,28.78,7.01,4.11,14,20,18,12.69
West Virginia,1766147,93,418,23.67,5.27,4.49,42,40,37,-7.34
Wisconsin,5972787,518,2244,37.57,8.67,4.33,15,6,8,47.09
Wyoming,588753,55,235,39.91,9.34,4.27,48,4,4,56.27
