state,locations,courts,courts_per_location,rank_courts_per_location,vs_50_state_weighted_avg_pct
Arizona,441,2727,6.18,1,34.49
New Jersey,441,2453,5.56,2,20.99
Nevada,147,797,5.42,3,17.95
Utah,313,1694,5.41,4,17.73
Georgia,586,3075,5.25,5,14.25
Florida,1485,7674,5.17,6,12.51
California,1458,7355,5.04,7,9.68
Alabama,279,1381,4.95,8,7.72
South Carolina,324,1576,4.86,9,5.76
Colorado,414,1968,4.75,10,3.37
Louisiana,174,816,4.69,11,2.06
Ohio,734,3434,4.68,12,1.84
Michigan,607,2835,4.67,13,1.63
New Mexico,133,617,4.64,14,0.97
Texas,1188,5441,4.58,15,-0.33
Indiana,425,1944,4.57,16,-0.55
Delaware,78,355,4.55,17,-0.98
Arkansas,139,630,4.53,18,-1.42
Minnesota,456,2057,4.51,19,-1.85
West Virginia,93,418,4.49,20,-2.29
Oregon,306,1363,4.45,21,-3.16
Massachusetts,447,1983,4.44,22,-3.38
Kentucky,227,1001,4.41,23,-4.03
Mississippi,123,543,4.41,24,-4.03
Tennessee,351,1549,4.41,25,-4.03
Missouri,435,1912,4.40,26,-4.25
Illinois,754,3294,4.37,27,-4.90
Idaho,182,793,4.36,28,-5.12
North Carolina,698,3042,4.36,29,-5.12
Maryland,420,1828,4.35,30,-5.34
Wisconsin,518,2244,4.33,31,-5.77
Connecticut,231,989,4.28,32,-6.86
Wyoming,55,235,4.27,33,-7.08
Rhode Island,65,274,4.22,34,-8.17
Pennsylvania,628,2586,4.12,35,-10.34
Washington,561,2303,4.11,36,-10.56
Virginia,562,2304,4.10,37,-10.78
Kansas,206,838,4.07,38,-11.43
South Dakota,66,267,4.05,39,-11.87
New York,830,3332,4.01,40,-12.74
Oklahoma,192,766,3.99,41,-13.17
New Hampshire,118,466,3.95,42,-14.04
Iowa,292,1148,3.93,43,-14.48
North Dakota,59,229,3.88,44,-15.56
Alaska,53,205,3.87,45,-15.78
Nebraska,148,558,3.77,46,-17.96
Montana,82,306,3.73,47,-18.83
Maine,172,626,3.64,48,-20.79
Vermont,102,368,3.61,49,-21.44
Hawaii,161,522,3.24,50,-29.49
