sitemap_url,source_level_inbound_links,sample_source_pages
/,79,404.html | about/index.html | briefing/archive/issue-001/index.html | briefing/index.html | compliance/index.html | contact/index.html | corrections/index.html | data/dataset-terms/index.html
/about/,79,404.html | about/index.html | briefing/archive/issue-001/index.html | briefing/index.html | compliance/index.html | contact/index.html | corrections/index.html | data/dataset-terms/index.html
/briefing/,23,404.html | briefing/archive/issue-001/index.html | briefing/index.html | contact/index.html | data/dataset-terms/index.html | data/index.html | data/state-of-pickleball-us-2026/media/index.html | disclosure.html
/briefing/archive/issue-001/,2,briefing/index.html | index.html
/compliance/,4,gear/index.html | learn/index.html | learn/pickleball-distraction-rule/index.html | learn/wrong-score-called-pickleball/index.html
/contact/,76,404.html | about/index.html | briefing/archive/issue-001/index.html | briefing/index.html | compliance/index.html | contact/index.html | corrections/index.html | data/dataset-terms/index.html
/corrections/,62,404.html | about/index.html | briefing/archive/issue-001/index.html | briefing/index.html | compliance/index.html | contact/index.html | corrections/index.html | data/dataset-terms/index.html
/data/,79,404.html | about/index.html | briefing/archive/issue-001/index.html | briefing/index.html | compliance/index.html | contact/index.html | corrections/index.html | data/dataset-terms/index.html
/data/dataset-terms/,4,data/index.html | data/pickleball-courts-by-state-2026/index.html | data/state-of-pickleball-us-2026/index.html | data/state-of-pickleball-us-2026/media/index.html
/data/pickleball-court-supply-gap-2026/,7,briefing/archive/issue-001/index.html | data/index.html | data/pickleball-facility-scale-by-state-2026/index.html | data/state-of-pickleball-us-2026/media/index.html | index.html | learn/pickleball-backyard-court-dimensions/index.html | stories/pickleball-noise-court-planning/index.html
/data/pickleball-courts-by-state-2026/,8,data/index.html | data/pickleball-court-supply-gap-2026/index.html | data/pickleball-facility-scale-by-state-2026/index.html | data/pickleball-vs-tennis-participation/index.html | data/rise-of-pickleball/index.html | data/state-of-pickleball-us-2026/media/index.html | index.html | stories/pickleball-noise-court-planning/index.html
/data/pickleball-facility-scale-by-state-2026/,2,data/index.html | data/state-of-pickleball-us-2026/index.html
/data/pickleball-vs-tennis-participation/,2,data/index.html | index.html
/data/pickleball-world-rankings/,3,briefing/archive/issue-001/index.html | data/index.html | index.html
/data/rise-of-pickleball/,5,data/index.html | data/pickleball-courts-by-state-2026/index.html | data/pickleball-vs-tennis-participation/index.html | data/state-of-pickleball-us-2026/index.html | stories/history-of-pickleball/index.html
