raw_label,locations,courts,retrieved_date,source_url
Alabama,279,1381,2026-08-12,https://www.pickleheads.com/courts/us
Alaska,53,205,2026-08-12,https://www.pickleheads.com/courts/us
Arizona,441,2727,2026-08-12,https://www.pickleheads.com/courts/us
Arkansas,139,630,2026-08-12,https://www.pickleheads.com/courts/us
CA,1,7,2026-08-12,https://www.pickleheads.com/courts/us
California,1458,7355,2026-08-12,https://www.pickleheads.com/courts/us
Colorado,414,1968,2026-08-12,https://www.pickleheads.com/courts/us
Connecticut,231,989,2026-08-12,https://www.pickleheads.com/courts/us
Delaware,78,355,2026-08-12,https://www.pickleheads.com/courts/us
District of Columbia,31,135,2026-08-12,https://www.pickleheads.com/courts/us
Florida,1485,7674,2026-08-12,https://www.pickleheads.com/courts/us
Georgia,586,3075,2026-08-12,https://www.pickleheads.com/courts/us
Hawaii,161,522,2026-08-12,https://www.pickleheads.com/courts/us
Idaho,182,793,2026-08-12,https://www.pickleheads.com/courts/us
Illinois,754,3294,2026-08-12,https://www.pickleheads.com/courts/us
Indiana,425,1944,2026-08-12,https://www.pickleheads.com/courts/us
Iowa,292,1148,2026-08-12,https://www.pickleheads.com/courts/us
Kansas,206,838,2026-08-12,https://www.pickleheads.com/courts/us
Kentucky,227,1001,2026-08-12,https://www.pickleheads.com/courts/us
Louisiana,174,816,2026-08-12,https://www.pickleheads.com/courts/us
Maine,172,626,2026-08-12,https://www.pickleheads.com/courts/us
Maryland,420,1828,2026-08-12,https://www.pickleheads.com/courts/us
Massachusetts,447,1983,2026-08-12,https://www.pickleheads.com/courts/us
MI,1,4,2026-08-12,https://www.pickleheads.com/courts/us
Michigan,607,2835,2026-08-12,https://www.pickleheads.com/courts/us
Minnesota,456,2057,2026-08-12,https://www.pickleheads.com/courts/us
Mississippi,123,543,2026-08-12,https://www.pickleheads.com/courts/us
Missouri,435,1912,2026-08-12,https://www.pickleheads.com/courts/us
Montana,82,306,2026-08-12,https://www.pickleheads.com/courts/us
NC,1,2,2026-08-12,https://www.pickleheads.com/courts/us
Nebraska,148,558,2026-08-12,https://www.pickleheads.com/courts/us
Nevada,147,797,2026-08-12,https://www.pickleheads.com/courts/us
New Hampshire,118,466,2026-08-12,https://www.pickleheads.com/courts/us
New Jersey,441,2453,2026-08-12,https://www.pickleheads.com/courts/us
New Mexico,133,617,2026-08-12,https://www.pickleheads.com/courts/us
New York,830,3332,2026-08-12,https://www.pickleheads.com/courts/us
North Carolina,698,3042,2026-08-12,https://www.pickleheads.com/courts/us
North Dakota,59,229,2026-08-12,https://www.pickleheads.com/courts/us
Ohio,734,3434,2026-08-12,https://www.pickleheads.com/courts/us
Oklahoma,192,766,2026-08-12,https://www.pickleheads.com/courts/us
Oregon,306,1363,2026-08-12,https://www.pickleheads.com/courts/us
Pennsylvania,628,2586,2026-08-12,https://www.pickleheads.com/courts/us
Puerto Rico,1,2,2026-08-12,https://www.pickleheads.com/courts/us
Rhode Island,65,274,2026-08-12,https://www.pickleheads.com/courts/us
South Carolina,324,1576,2026-08-12,https://www.pickleheads.com/courts/us
South Dakota,66,267,2026-08-12,https://www.pickleheads.com/courts/us
Tennessee,351,1549,2026-08-12,https://www.pickleheads.com/courts/us
Texas,1188,5441,2026-08-12,https://www.pickleheads.com/courts/us
United States,5,20,2026-08-12,https://www.pickleheads.com/courts/us
Utah,313,1694,2026-08-12,https://www.pickleheads.com/courts/us
Vermont,102,368,2026-08-12,https://www.pickleheads.com/courts/us
Virginia,562,2304,2026-08-12,https://www.pickleheads.com/courts/us
Virgin Islands,1,6,2026-08-12,https://www.pickleheads.com/courts/us
Washington,561,2303,2026-08-12,https://www.pickleheads.com/courts/us
West Virginia,93,418,2026-08-12,https://www.pickleheads.com/courts/us
Wisconsin,518,2244,2026-08-12,https://www.pickleheads.com/courts/us
Wyoming,55,235,2026-08-12,https://www.pickleheads.com/courts/us
